,Title,Artist,Duration,Genre,Mood
,vampire,Olivia Rodrigo,03:39,Pop,Breakup
,Wish You The Best,Lewis Capaldi,03:30,Pop,Breakup
,you broke me first,Tate McRae,02:49,Pop,Breakup
,Back To Black,Amy Winehouse,04:00,R&B,Breakup
,traitor,Olivia Rodrigo,03:49,Pop,Breakup
,Love Yourself,Justin Bieber,03:53,Pop,Breakup
,good 4 u,Olivia Rodrigo,02:58,Pop,Breakup
,We Were Young,Sad Puppy,03:23,Pop,Breakup
,Happier Than Ever,Billie Eilish,04:58,Pop,Breakup
,Shout Out to My Ex,Little Mix,03:39,Pop,Breakup
,"1 step forward, 3 steps back",Olivia Rodrigo,02:43,pop,Failed
,this is me trying,Taylor Swift,03:15,pop,Failed
,Break My Heart Again,FINNEAS,03:58,indie,Failed
,champagne problems,Taylor Swift,04:04,pop,Failed
,my tears ricochet,Taylor Swift,04:15,pop,Failed
,Feeling Whitney,Post Malone,04:17,rap,Failed
,Falling,Harry Styles,04:00,pop,Failed
,The Cut That Always Bleeds,Conan Gray,03:51,indie,Failed
,brutal,Olivia Rodrigo,02:23,pop,Failed
,Let You Down,NF,03:32,rap,Failed
,Hand It Over,MGMT,04:13,rock,Fired
,Killing Me Softly With His Song,Roberta Flack,04:46,jazz,Fired
,Dreams - 2004 Remaster,Fleetwood Mac,04:17,rock,Fired
,The Less I Know The Better,Tame Impala,03:36,rock,Fired
,Feels Like We Only Go Backwards,Tame Impala,03:12,rock,Fired
,If I Ever Feel Better,Phoenix,04:26,pop,Fired
,Blue Boy,Mac DeMarco,02:06,indie,Fired
,Chamber Of Reflection,Mac DeMarco,03:51,indie,Fired
,Multi-Love,Unknown Mortal Orchestra,04:10,pop,Fired
,Necessary Evil,Unknown Mortal Orchestra,05:17,pop,Fired
,Between The Bars,Elliott Smith,02:21,indie,Mourning
,Supermarket Flowers,Ed Sheeran,03:41,pop,Mourning
,Save Myself,Ed Sheeran,04:07,pop,Mourning
,I Love You So,The Walters,02:40,indie,Mourning
,A Song About Being Sad,Rex Orange County,02:16,indie,Mourning
,Saving All My Love for You,Whitney Houston,03:58,pop,Mourning
,I Fall Apart,Post Malone,03:43,rap,Mourning
,Hero,Mariah Carey,04:17,contemporary,Mourning
,Run to You,Whitney Houston,04:24,pop,Mourning
,Someone Like You,Adele,04:45,pop,Mourning
,Apocalypse,Cigarettes After Sex,04:50,pop,Depressed
,ghost boy,Lil Peep,02:10,Hip Hop,Depressed
,Daddy Issues (Remix) feat. Syd,"The Neighbourhood,Syd",03:01,pop,Depressed
,Poison Tree,Grouper,03:16,electronic,Depressed
,Don't Forget About Me,CLOVES,04:28,pop,Depressed
,hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,05:24,pop,Depressed
,Exit Music (For A Film),Radiohead,04:27,rock,Depressed
,Suicidal Thoughts,"Josh A,iamjakehill",03:01,hip hop,Depressed
,I Don't Wanna Waste My Time,Joji,02:44,pop,Depressed
,My Flaws Burn Through My Skin Like Demonic Flames from Hell,$uicideboy$,02:47,hip hop,Depressed
,Just Cool,Obongjayar,03:40,R&B,GoodDay
,Pink + White,Frank Ocean,03:04,"Hip Hop, R&B",GoodDay
,Dreams - 2004 Remaster,Fleetwood Mac,04:17,Rock,GoodDay
,The Less I Know The Better,Tame Impala,03:36,"Metal, Rock, Folk/Acoustic",GoodDay
,Walking On A Dream,Empire of the Sun,03:18,"Electronic, Pop, Rock",GoodDay
,Hell N Back,Bakar,03:33,Hip Hop,GoodDay
,Golden,Harry Styles,03:28,Pop,GoodDay
,Good Days,SZA,04:39,"Pop, R&B, Hip Hop",GoodDay
,Lost,Frank Ocean,03:54,"Hip Hop, R&B",GoodDay
,Come Around and Love Me,Jalen Ngonda,03:04,R&B,GoodDay
,Flawless Remix (feat. Nicki Minaj),"Beyoncé,Nicki Minaj",03:54,"Pop, Hip Hop, R&B",Success
,just like magic,Ariana Grande,02:29,Pop,Success
,Money,Cardi B,03:03,"Pop, Hip Hop",Success
,Good as Hell (feat. Ariana Grande),"Lizzo,Ariana Grande",02:39,"Pop, Hip Hop, R&B",Success
,successful,Ariana Grande,03:47,Pop,Success
,Rude Boy,Rihanna,03:42,"Pop, Hip Hop",Success
,Boss Bitch,Doja Cat,02:14,Pop,Success
,7 rings,Ariana Grande,02:58,Pop,Success
,Truth Hurts,Lizzo,02:53,"Pop, Hip Hop, R&B",Success
,Savage,Megan Thee Stallion,02:35,"Hip Hop, Pop, R&B",Success
,Stolen Dance,Milky Chance,05:13,"Pop, Rock",Vacation
,Fast Car,"Jonas Blue,Dakota",03:32,"Pop, Electronic",Vacation
,Electric Feel,MGMT,03:49,"Rock, Pop",Vacation
,Someone To You,BANNERS,03:39,Pop,Vacation
,1901,Phoenix,03:13,"Rock, Pop",Vacation
,Way It Goes,Hippo Campus,04:05,"Rock, Pop",Vacation
,Electric Love,BØRNS,03:38,"Pop, Rock",Vacation
,Marry You,Bruno Mars,03:50,Pop,Vacation
,Walking On A Dream,Empire of the Sun,03:18,"Electronic, Pop, Rock",Vacation
,Sit Next to Me,Foster The People,04:03,"Pop, Rock",Vacation
,Hard To Forget,Sam Hunt,03:24,"Country, Pop, Rock",DateNight
,Just the Way You Are,Bruno Mars,03:40,Pop,DateNight
,Shut Up and Dance,WALK THE MOON,03:19,"Rock, Folk/Acoustic",DateNight
,Why Don't We Just Dance,Josh Turner,03:12,Country,DateNight
,My Girl,The Temptations,02:45,R&B,DateNight
,Everybody Talks,Neon Trees,02:57,"Rock, Folk/Acoustic, Pop",DateNight
,Marry Me,Train,03:25,"Pop, Folk/Acoustic, Rock",DateNight
,Ain't No Mountain High Enough,"Marvin Gaye,Tammi Terrell",02:31,R&B,DateNight
,I Want You Back,The Jackson 5,02:56,R&B,DateNight
,Hey Ya!,Outkast,03:55,Hip Hop,DateNight
,Woman,Doja Cat,02:52,Pop,AllNighter
,Kiss Me More (feat. SZA),"Doja Cat,SZA",03:28,"Pop, R&B, Hip Hop",AllNighter
,Walking On A Dream,Empire of the Sun,03:18,"Electronic, Pop, Rock",AllNighter
,Everybody Wants To Rule The World,Tears For Fears,04:11,"Rock, Pop",AllNighter
,Me and My Husband,Mitski,02:17,"Rock, Pop",AllNighter
,Meet Me At Our Spot,"THE ANXIETY,WILLOW,Tyler Cole",02:42,"R&B, Pop",AllNighter
,Mr. Blue Sky,Electric Light Orchestra,05:03,"Rock, Folk/Acoustic",AllNighter
,Kilby Girl,The Backseat Lovers,04:42,"Pop, New age",AllNighter
,Happier Than Ever,Billie Eilish,04:58,Pop,AllNighter
,Freaks,Surf Curse,02:27,"Rock, Pop",AllNighter
,july,dyl dion,02:37,R&B,Gloomy
,Bright Red,Ryan Beatty,02:49,R&B,Gloomy
,Poison Tree,Grouper,03:16,"Electronic, Pop, Rock",Gloomy
,Mrs Magic,Strawberry Guy,03:28,Pop,Gloomy
,Rumpang,Nadin Amizah,05:23,Pop,Gloomy
,Usai,Tiara Andini,03:37,Pop,Gloomy
,Apocalypse,Cigarettes After Sex,04:50,"Pop, Country, Rock",Gloomy
,worldstar money (interlude),Joji,02:06,Pop,Gloomy
,favorite lesson,yaeow,03:25,"Pop, Electronic, Hip Hop",Gloomy
,the way things go,beabadoobee,03:07,"Pop, Rock",Gloomy
,Heather,Conan Gray,03:18,Pop,Exam
,Sofia,Clairo,03:08,Pop,Exam
,Understand,Christian Leave,02:13,Pop,Exam
,Silly Girl,chloe moriondo,03:18,Pop,Exam
,Flaming Hot Cheetos,Clairo,02:03,Pop,Exam
,Comfort Crowd,Conan Gray,02:54,Pop,Exam
,Tommy's Party,Peach Pit,06:01,"Pop, Rock",Exam
,Pretty Girl,Clairo,02:58,Pop,Exam
,Sunflower,Rex Orange County,04:12,Pop,Exam
,affection,BETWEEN FRIENDS,03:55,Pop,Exam
,Dark Red,Steve Lacy,02:53,R&B,Homework
,we fell in love in october,girl in red,03:04,"Pop, Electronic",Homework
,august,Taylor Swift,04:21,Pop,Homework
,Sofia,Clairo,03:08,Pop,Homework
,i wanna be your girlfriend,girl in red,03:24,"Pop, Electronic",Homework
,Heather,Conan Gray,03:18,Pop,Homework
,Are You Bored Yet? (feat. Clairo),"Wallows,Clairo",02:58,Pop,Homework
,Can I Call You Tonight?,Dayglow,04:38,"Folk/Acoustic, Rock, Pop",Homework
,Sweater Weather,The Neighbourhood,04:00,"Rock, Pop",Homework
,champagne problems,Taylor Swift,04:04,Pop,Homework
,Not a Cloud in the Sky,No Issues Band,02:09,Lofi,Reading
,Above the Clouds,The Dream Life Factory,01:47,Lofi,Reading
,Snowman,Gr8 beats,03:14,Lofi,Reading
,Love Within,Attachu,01:37,Lofi,Reading
,Reminiscene,Attachu,01:45,Lofi,Reading
,Yellow,Sewer Dogs,01:52,Lofi,Reading
,Dreamy Clouds,Dreamy Days,02:00,Lofi,Reading
,Bathtub Vibes,LoFi Bear,02:32,Lofi,Reading
,Blessed Days,Emelie Smith,01:54,Lofi,Reading
,Viva La Vida,Sewer Dogs,01:49,Lofi,Reading
,Chihiro,Cha Se-Eun,02:23,Lofi,Yoga
,Butterflies,Cha Se-Eun,01:01,Lofi,Yoga
,Sunsets,"Edwin Pearson,Peter Delafose,Fomadd",01:06,Lofi,Yoga
,Stuck in the Atmosphere,Peter Delafose,02:03,Lofi,Yoga
,Warm Moments,delo cloonz,01:12,Lofi,Yoga
,Paradise,Cha Se-Eun,01:09,Lofi,Yoga
,Floating Among the Stars,Edwin Pearson,02:26,Lofi,Yoga
,Per Favore,delo cloonz,01:09,Lofi,Yoga
,Island Full of Dreams,delo cloonz,02:04,Lofi,Yoga
,Distance,rain,02:10,Lofi,Yoga
,Little Do You Know,Alex & Sierra,03:05,Pop,Slow
,Mercy,Shawn Mendes,03:28,Pop,Slow
,Be Alright,Dean Lewis,03:16,Pop,Slow
,Older,Sasha Alex Sloan,03:04,Pop,Slow
,Jealous,Labrinth,04:47,Pop,Slow
,Will I Be Enough,Evie Clair,04:23,Pop,Slow
,Supermarket Flowers,Ed Sheeran,03:41,Pop,Slow
,Perfect,Ed Sheeran,04:23,Pop,Slow
,Photograph,Ed Sheeran,04:18,Pop,Slow
,Wildest Dreams,Taylor Swift,03:40,Pop,Slow
,National Anthem,Lana Del Rey,03:50,Pop,Finished
,Mount Everest,Labrinth,02:37,Pop,Finished
,Bubblegum Bitch,MARINA,02:34,"Electronic, Pop",Finished
,Cigarette Duet,Princess Chelsea,04:20,"Rock, Pop",Finished
,Lost in the Fire (feat. The Weeknd),"Gesaffelstein,The Weeknd",03:22,"R&B, Pop, Electronic",Finished
,This Could Be Us,Rae Sremmurd,03:26,Hip Hop,Finished
,Champagne & Sunshine,"PLVTINUM,Tarro",03:16,R&B,Finished
,All I Need,Lloyd,03:58,"Pop, R&B, Hip Hop",Finished
,Happier Than Ever,Billie Eilish,04:58,Pop,Finished
,Daddy Issues,The Neighbourhood,04:20,"Rock, Pop",Finished
,Celebration - Single Version,Kool & The Gang,03:38,R&B,Birthday
,Walking On Sunshine,Katrina & The Waves,03:58,Pop,Birthday
,Happy Birthday,Stevie Wonder,05:57,R&B,Birthday
,Dancing in the Moonlight,Toploader,03:52,Rock,Birthday
,"Happy - From Despicable Me 2""",Pharrell Williams,03:52,Pop,Birthday
,Birthday,Katy Perry,03:35,Pop,Birthday
,Best Day Of My Life,American Authors,03:14,Rock,Birthday
,Lovely Day,Bill Withers,04:14,R&B,Birthday
,Good Time,"Owl City,Carly Rae Jepsen",03:25,Pop,Birthday
,I Gotta Feeling,Black Eyed Peas,04:49,"Pop, Hip Hop",Birthday
,Girls Want Girls (with Lil Baby),"Drake,Lil Baby",03:41,"Hip Hop, Pop",NightOut
,Heat Waves,"Glass Animals,iann dior",02:55,"Pop, Hip Hop, Rock",NightOut
,Kiss Me Thru The Phone,"Soulja Boy,Sammie",03:13,"Hip Hop, Pop, R&B",NightOut
,Take Care,"Drake,Rihanna",04:37,"Pop, Hip Hop",NightOut
,Closer - R3hab Remix,"The Chainsmokers,Halsey,R3HAB",02:41,"Electronic, Pop",NightOut
,Yeah 3x,Chris Brown,04:01,"Hip Hop, R&B",NightOut
,She's Casual,The Hunna,03:03,Rock,NightOut
,"Show Me (feat. Trey Songz, Juicy J, 2 Chainz & Chris Brown) - Remix","Kid Ink,Trey Songz,Juicy J,2 Chainz,Chris Brown",04:33,"Hip Hop, Pop, R&B",NightOut
,Post to Be (feat. Chris Brown & Jhene Aiko),"Omarion,Chris Brown,Jhené Aiko",03:46,"Pop, Hip Hop, R&B",NightOut
,Super Bass,Nicki Minaj,03:20,"Pop, Hip Hop",NightOut
,Miles,SZA,01:09,"Pop, R&B, Hip Hop",Anxious
,Never Felt So Alone,Labrinth,02:40,Pop,Anxious
,As I Am,H.E.R.,04:00,"R&B, Hip Hop",Anxious
,breathin,Ariana Grande,03:18,Pop,Anxious
,W.A.Y.S.,Jhené Aiko,03:58,R&B,Anxious
,CPR,Summer Walker,03:23,"R&B, Hip Hop",Anxious
,Self Care,Mac Miller,05:45,Hip Hop,Anxious
,SUGAR,BROCKHAMPTON,03:24,"Pop, Hip Hop",Anxious
,Secondhand Smoke,Brynn Cartelli,04:03,"Pop, Rock, Country",Anxious
,Honey,Kehlani,03:19,"Pop, R&B, Hip Hop",Anxious
,i wanna be your girlfriend,girl in red,03:24,"Pop, Electronic",Crushing
,Crush Culture,Conan Gray,03:24,Pop,Crushing
,People Watching,Conan Gray,02:38,Pop,Crushing
,Prom Queen,Beach Bunny,02:16,"Rock, Pop",Crushing
,Juliet,Cavetown,04:38,Pop,Crushing
,All I Want,"Olivia Rodrigo,Disney",02:57,"Easy listening, Pop",Crushing
,Training Wheels,Melanie Martinez,03:25,Pop,Crushing
,This Is Home,Cavetown,03:46,Pop,Crushing
,Sweater Weather,The Neighbourhood,04:00,"Rock, Pop",Crushing
,Heather,Conan Gray,03:18,Pop,Crushing
,Too Young to Burn,Sonny & The Sunsets,03:19,"Rock, Folk/Acoustic",Bored
,Drunk on Halloween,Wallows,03:57,Pop,Bored
,Telescope,Cage The Elephant,03:48,"Rock, Pop, Blues",Bored
,All Apologies,Nirvana,03:53,Rock,Bored
,Drop the Guillotine,Peach Pit,03:39,"Pop, Rock",Bored
,Cigarette Daydreams,Cage The Elephant,03:28,"Rock, Pop, Blues",Bored
,Scrawny,Wallows,02:46,Pop,Bored
,Yellow,Coldplay,04:26,"Rock, Pop",Bored
,Dope on a Rope,The Growlers,04:10,"Blues, Rock",Bored
,Banquet,Bloc Party,03:21,"Rock, Pop",Bored
,What Once Was,Her's,04:15,"Pop, Rock",Alone
,Lovers Rock,TV Girl,03:33,Pop,Alone
,YKWIM?,Yot Club,03:32,Pop,Alone
,New Flesh,Current Joys,02:47,"Rock, Pop",Alone
,Cigarettes out the Window,TV Girl,03:18,Pop,Alone
,For the First Time,Mac DeMarco,03:02,"Folk/Acoustic, Rock, Pop",Alone
,Telephones,Vacations,03:32,Pop,Alone
,Wait a Minute!,WILLOW,03:16,"R&B, Pop",Alone
,Blondie,Current Joys,03:14,"Rock, Pop",Alone
,Sink into the Floor,Feng Suave,04:41,Pop,Alone